"sentence","label","knowledge_dimension","cognitive_process"
"Reflect on strategy selection for acrylic panel; evaluate approach appropriateness from workcell W1.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Design new procedure for kevlar strap; create optimized workflow from the intake hopper; develop protocol for vision sensor 2.","Procedural_Create","Procedural","Create"
"Design self-monitoring framework for steel wrench; create awareness system from conveyor belt 1; develop metacognitive protocol for vision sensor 2.","Metacognitive_Create","Metacognitive","Create"
"Critique learning progress for gas detector; evaluate skill development from storage unit 6; assess competency of suction cup B.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"Apply awareness enhancement for encoder wheel; use attention techniques from conveyor belt 1.","Metacognitive_Apply","Metacognitive","Apply"
"Assemble tea cup components with full power; construct complete unit from bin C2; build final assembly using tactile sensor array.","Factual_Create","Factual","Create"
"Check if solenoid valve from the staging area is damaged; verify the expiration date; test battery level using gripper C.","Factual_Evaluate","Factual","Evaluate"
"Interpret error message for relay module; explain warning significance from conveyor belt 3; describe alert for lidar unit 2.","Metacognitive_Understand","Metacognitive","Understand"
"Plug in the encoder wheel strictly; connect the power cable from station ST3.","Factual_Apply","Factual","Apply"
"Plan new route for steel wrench; compose automation script from station ST3.","Procedural_Create","Procedural","Create"
"Create classification framework for servo motor; develop categorization scheme from shelf S2; design methodology via lidar unit 3.","Conceptual_Create","Conceptual","Create"
"State current error state of plastic bag; recall warning message from workcell W4.","Metacognitive_Remember","Metacognitive","Remember"
"Use the polyethylene tube within 60s; apply the label from the table 6.","Factual_Apply","Factual","Apply"
"Investigate performance degradation for carbon fiber sheet; analyze error patterns from shelf S6; examine failure modes of magnetic head 2.","Metacognitive_Analyze","Metacognitive","Analyze"
"Examine workflow bottlenecks for silicone gasket; troubleshoot delay from conveyor belt 1.","Procedural_Analyze","Procedural","Analyze"
"Predict battery drain for aluminum bracket task; estimate time remaining from zone Z3; interpret warning on encoder module 1.","Metacognitive_Understand","Metacognitive","Understand"
"Survey the teflon washer inventory from workcell W7; examine stock levels; inspect quantity via gripper B.","Factual_Analyze","Factual","Analyze"
"Explain learning curve for tungsten electrode; describe skill progress from zone Z1.","Metacognitive_Understand","Metacognitive","Understand"
"Execute category handling for tea cup; apply theory from shelf S5.","Conceptual_Apply","Conceptual","Apply"
"Reflect on success of fuse holder move; assess confidence of grasp from the table 2.","Metacognitive_Evaluate","Metacognitive","Evaluate"
"State the category class for flow regulator; recall sorting rule from zone Z5.","Conceptual_Remember","Conceptual","Remember"
"Plan testing methodology for cable gland; create validation procedure from conveyor belt 3.","Procedural_Create","Procedural","Create"
"Adjust confidence thresholds for titanium bolt; adapt certainty parameters from shelf S7.","Metacognitive_Apply","Metacognitive","Apply"
"Name maintenance procedure for terminal block; recall service steps from shelf S10.","Procedural_Remember","Procedural","Remember"
"Examine maintenance protocol for red apple; analyze service procedure from bin C4; investigate inspection for force sensor B.","Procedural_Analyze","Procedural","Analyze"
"Summarize the key features of aluminum bracket; explain the model differences from bin C3; describe the packaging via suction cup C.","Factual_Understand","Factual","Understand"
"Summarize storage principles for pneumatic cylinder; explain environmental categories from workcell W3; describe rules via rotary actuator 2.","Conceptual_Understand","Conceptual","Understand"
"Compare procedures for ceramic capacitor; contrast methods from the table 6.","Procedural_Analyze","Procedural","Analyze"
"Develop safety classification for titanium bolt; create risk scheme from rack R1.","Conceptual_Create","Conceptual","Create"
"Construct theoretical framework for sponge pad; develop conceptual model from bin C3; create hierarchy via suction cup A.","Conceptual_Create","Conceptual","Create"
"Invent new category for platinum wire; design classification for items from rack R4; create grouping via magnetic head 3.","Conceptual_Create","Conceptual","Create"
"Debug configuration process for proximity switch; analyze setup issues from sorting bench 2.","Procedural_Analyze","Procedural","Analyze"
"Name the theory behind sponge pad handling; recall the principle from bin B3.","Conceptual_Remember","Conceptual","Remember"
"Interpret protocol framework for vibration monitor; explain procedure categories from zone Z4.","Conceptual_Understand","Conceptual","Understand"
"Identify shutdown protocol for teflon washer; recall power-off sequence from shelf S2; list termination steps for encoder module 1.","Procedural_Remember","Procedural","Remember"
"Recall safety class for proximity switch; state hazard category from rack R5.","Conceptual_Remember","Conceptual","Remember"
"Probe awareness effectiveness for platinum wire; analyze attention patterns from bin A5.","Metacognitive_Analyze","Metacognitive","Analyze"
"Plan new route for tungsten electrode; compose automation script from shelf S9.","Procedural_Create","Procedural","Create"
"Probe proximity switch for hidden damage from bin A5; investigate internal components; explore quality using suction cup B.","Factual_Analyze","Factual","Analyze"
"Critique safety assignment for nylon gear; evaluate risk classification from bin C4.","Conceptual_Evaluate","Conceptual","Evaluate"
"Design new procedure for gas detector; create optimized workflow from shelf S3.","Procedural_Create","Procedural","Create"
"Probe confidence calibration for junction box; analyze certainty accuracy from conveyor belt 2; investigate reliability of vacuum generator 2.","Metacognitive_Analyze","Metacognitive","Analyze"
"Operate the potentiometer dial control panel systematically; execute the power-on from storage unit 5; run in standard mode via magnetic head 2.","Factual_Apply","Factual","Apply"
"Generate new label for acrylic panel; create identification tag from bin C4.","Factual_Create","Factual","Create"
"Carry out maintenance for epoxy resin block; execute service routine from bin C3; perform inspection on magnetic head 1 carefully.","Procedural_Apply","Procedural","Apply"
"Identify assembly sequence for kevlar strap; recall construction steps from the table 8.","Procedural_Remember","Procedural","Remember"
"Describe startup procedure for platinum wire; interpret initialization guide from shelf S9.","Procedural_Understand","Procedural","Understand"
"Generate new label for servo motor; create identification tag from bin C4; produce barcode via lidar unit 2.","Factual_Create","Factual","Create"
